,title,text,clean_text
0,"AD System designer / System Architect - Automotive, Referens 20922","Ansök här
Uppdragsbeskrivning och krav
We are now looking for a System designer/System Architect to our Clients autonomous drive and active safety function department!

You have documented experience of system design within the domain advanced driver-assistance systems (ADAS) and autonomous drive (AD). You will work with defining the system architecture for our ADAS and AD functionality and creating technical solutions involving sensors, high performance compute platforms and actuators.

To succeed in the role, we believe that you need to have experience from software architecture design in complex systems and that you probably have experience of C++ development within the domain.

Your daily work will be dependent on knowledge of functional safety according to ISO26262. Previous experience of performing hazard analysis and function realization including creating functional and technical safety concepts is useful in the role.

Experience in designing fault-tolerant system with high availability is meritorious

English only is sufficient language skill for this assignment
Övrig relevant information
Do you fit the profile?
We are looking for a person that is self-driven and a proactive team player with high ability to achieve results, even under tough circumstances. You are curious, takes initiatives and is eager to learn. You care about people and you have a passion to share knowledge and learnings with others

Är du tillgänglig och uppdraget känns intressant, klicka på knappen ""Ansök här"". Innan du svarar på ett uppdrag, var noga med att din kompetensprofil (CV) är uppdaterad, korrekt och tydligt beskriver att du är lämplig för uppdraget.","ansök här . uppdragsbeskrivning och krav . we are now looking for a system designer / system architect to our clients autonomous drive and active safety function department . you have documented experience of system design within the domain advanced driver - assistance systems ( adas ) and autonomous drive ( ad . you will work with defining the system architecture for our adas and ad functionality and creating technical solutions involving sensors , high performance compute platforms and actuators . to succeed in the role , we believe that you need to have experience from software architecture design in complex systems and that you probably have experience of c++ development within the domain . your daily work will be dependent on knowledge of functional safety according to iso26262 . previous experience of performing hazard analysis and function realization including creating functional and technical safety concepts is useful in the role . experience in designing fault - tolerant system with high availability is meritorious . english only is sufficient language skill for this assignment . övrig relevant information . do you fit the profile . we are looking for a person that is self - driven and a proactive team player with high ability to achieve results , even under tough circumstances . you are curious , takes initiatives and is eager to learn . you care about people and you have a passion to share knowledge and learnings with others . är du tillgänglig och uppdraget känns intressant , klicka på knappen "" ansök här . innan du svarar på ett uppdrag , var noga med att din kompetensprofil ( cv ) är uppdaterad , korrekt och tydligt beskriver att du är lämplig för uppdraget . "
1,"AD/ADAS HIL Engineer - Automotive, Referens 21803","Ansök här
Uppdragsbeskrivning och krav
We are looking for a HIL Engineer within ADAS/AD.

Together with your colleagues, you will define, set up and configure dSpace HIL environments supporting our current and future projects.

You will be doing modeling work with Matlab, Simulink and you will be enabling HIL test automation, moving us towards “Continuous Integration”. We know that you are a curious, problem solving person with and a True Team player mindset who works effectively together with others to achieve results. You are flexible and can handle multiple parallel tasks at the same time. You are driven, quality conscious and you are inspired by technical – and process related challenges.

Requirement Profile
You have a M.Sc or a B.Sc within Electronics, Physics, Mechatronics, Software Engineering or similar.
You have at least 3 years of relevant work experience.
You have knowledge in vehicle communication such as CAN, LIN, Flexray, Ethernet as well as programming skills in Matlab or Python.
You have previous experience in model development in Simulink and you are familiar of working according to Agile methods.

Experience/Knowledge from
• Working in HIL environments such as dSpace or Vector
• Knowledge in vehicle/traffic simulation
• Knowledge in integration of sensor technologies (radar, camera, lidar, ultrasonic etc)
• Knowledge in vehicle dynamics • Verification in vehicles at system or functional level or experience from test automation

English only is sufficient language skill for this assignment
Övrig relevant information
• Meritorious: Knowledge from development of vehicle software within: o Hybrid and/or electric vehicle development o Active Safety o Connected Vehicles o Power Train o Brake

Är du tillgänglig och uppdraget känns intressant, klicka på knappen ""Ansök här"". Innan du svarar på ett uppdrag, var noga med att din kompetensprofil (CV) är uppdaterad, korrekt och tydligt beskriver att du är lämplig för uppdraget.

","ansök här . uppdragsbeskrivning och krav . we are looking for a hil engineer within adas / ad . together with your colleagues , you will define , set up and configure dspace hil environments supporting our current and future projects . you will be doing modeling work with matlab , simulink and you will be enabling hil test automation , moving us towards “ continuous integration . we know that you are a curious , problem solving person with and a true team player mindset who works effectively together with others to achieve results . you are flexible and can handle multiple parallel tasks at the same time . you are driven , quality conscious and you are inspired by technical – and process related challenges . requirement profile . you have a m . sc or a b . sc within electronics , physics , mechatronics , software engineering or similar . you have at least 3 years of relevant work experience . you have knowledge in vehicle communication such as can , lin , flexray , ethernet as well as programming skills in matlab or python . you have previous experience in model development in simulink and you are familiar of working according to agile methods . experience / knowledge from • working in hil environments such as dspace or vector • knowledge in vehicle / traffic simulation • knowledge in integration of sensor technologies ( radar , camera , lidar , ultrasonic etc • knowledge in vehicle dynamics • verification in vehicles at system or functional level or experience from test automation . english only is sufficient language skill for this assignment . övrig relevant information • meritorious : knowledge from development of vehicle software within : o hybrid and / or electric vehicle development o active safety o connected vehicles o power train o brake . är du tillgänglig och uppdraget känns intressant , klicka på knappen "" ansök här . innan du svarar på ett uppdrag , var noga med att din kompetensprofil ( cv ) är uppdaterad , korrekt och tydligt beskriver att du är lämplig för uppdraget . "
2,"SW engineer with extensive Test Automation, Infotainment , Reference 23512","Apply here
Assignment Description and Requirements
SW engineer with extensive Test Automation development experience

Short description of need
===================
We need to reinforce and accelerate the development of next generation Telematics and Connectivity platform, enabling a global connectivity functionality.
Our cross-functional development teams need to secure the design, implementation and testing/verification of the features. The QA part needs to be done by means of automated test frameworks to the highest extent possible.

Competence Requirements – Experience and background
============================================
* Master degree or equivalent in Software- or/and Electrical Engineering, or equivalent experience.
* Development of Test Automation frameworks (both Windows and Linux environment)
* Test methodologies like System, Integration and Component testing
* Python / Robot framework
* HIL testing
* Experience of test development in CI/CD environment
* Knowledge of GIT/GERRIT, Jenkins or other CI tools
* Communicative in speech and writing
* Driving license


Meritorious qualifications
====================
* Manual testing
* Embedded C/C++
* Application development in C++
* Agile SW development
* Experience of working in a cross-functional team
* Experience of testing in automotive industry
* Communication protocols: CAN, Flexray, LIN, Ethernet
* Experience in automotive Vector tools like CANoe/CANalyser

Other relevant information
Are you available and the assignment seems interesting, click the ""Apply now"". Before you respond to an assignment, make sure that your skills profile (CV) is updated, correct and clearly describing your suitability for the job.
","apply here . assignment description and requirements . sw engineer with extensive test automation development experience . short description of need . =================== . we need to reinforce and accelerate the development of next generation telematics and connectivity platform , enabling a global connectivity functionality . our cross - functional development teams need to secure the design , implementation and testing / verification of the features . the qa part needs to be done by means of automated test frameworks to the highest extent possible . competence requirements – experience and background . ============================================ * master degree or equivalent in software - or / and electrical engineering , or equivalent experience * development of test automation frameworks ( both windows and linux environment * test methodologies like system , integration and component testing * python / robot framework * hil testing * experience of test development in ci / cd environment * knowledge of git / gerrit , jenkins or other ci tools * communicative in speech and writing * driving license . meritorious qualifications . ==================== * manual testing * embedded c / c++ * application development in c++ * agile sw development * experience of working in a cross - functional team * experience of testing in automotive industry * communication protocols : can , flexray , lin , ethernet * experience in automotive vector tools like canoe / canalyser . other relevant information . are you available and the assignment seems interesting , click the "" apply now . before you respond to an assignment , make sure that your skills profile ( cv ) is updated , correct and clearly describing your suitability for the job . "
3,"SW Component Owner, Referens 21757","Ansök här
Uppdragsbeskrivning och krav
As a SW CO you will work with applicable stakeholders to understand the requirements on the components, you will be responsible for ensuring that the deliveries from the suppliers meet our expectations.

The system is an integral part of our customer’s product offering and the driver environment.
To deliver world class products in this area we are constantly challenged to provide the best solutions in terms of feature, quality and cost.
Development is done in a global environment with two development centers and additional application centers with colleagues and suppliers from around the world.
The role sought will act as a ""global lead"", and have regular contact with other sites / centers, which also includes visits / trips

Responsibilities:
- Ensure that SW parts can be ordered and released in relevant production systems
- Develop technical requirements of SW components
- Be part of the supplier selection.
- Ensure supplier progress with technical follow up
- Plan and support relevant SW tests both onsite and offsite.
- Participate in improving SW test methodology.
- Ensure regular communication and stakeholder interaction, e.g. with SW component owners, functional owners, system leaders and project managers.
- Contribute to the future SW technology roadmap.
- Contribute to harmonized documentation and process alignment.
- Handle and investigate returned components from the field.

Qualifications
• Master’s degree in electronics / computer engineering or equivalent education
• Knowledge in Volvo product structures and tools, KOLA
• Experience in software development, testing and industrialization
• High competence in global communication and networking
• Well spoken and written English

Personal skills
As a SW CO you are expected to be persistent, knowledgeable, and service minded.
You should have strong verbal and written communication skills, and be able to produce structured documents of high quality.

As we work in a multi-project environment you must be able to drive your tasks to closure on time and be able to work independently and with drive. You should be a team worker with a high level of cooperation ability.
As the position requires many stakeholder interfaces and will support several users, it is important that you are able to (and enjoy) working in multitask environment and are able to prioritize and structure your work independently.

English only is sufficient language skill for this assignment
Övrig relevant information
Är du tillgänglig och uppdraget känns intressant, klicka på knappen ""Ansök här"". Innan du svarar på ett uppdrag, var noga med att din kompetensprofil (CV) är uppdaterad, korrekt och tydligt beskriver att du är lämplig för uppdraget.

","ansök här . uppdragsbeskrivning och krav . as a sw co you will work with applicable stakeholders to understand the requirements on the components , you will be responsible for ensuring that the deliveries from the suppliers meet our expectations . the system is an integral part of our customer ’ s product offering and the driver environment . to deliver world class products in this area we are constantly challenged to provide the best solutions in terms of feature , quality and cost . development is done in a global environment with two development centers and additional application centers with colleagues and suppliers from around the world . the role sought will act as a "" global lead , and have regular contact with other sites / centers , which also includes visits / trips . responsibilities - ensure that sw parts can be ordered and released in relevant production systems - develop technical requirements of sw components - be part of the supplier selection - ensure supplier progress with technical follow up - plan and support relevant sw tests both onsite and offsite - participate in improving sw test methodology - ensure regular communication and stakeholder interaction , e . g . with sw component owners , functional owners , system leaders and project managers - contribute to the future sw technology roadmap - contribute to harmonized documentation and process alignment - handle and investigate returned components from the field . qualifications • master ’ s degree in electronics / computer engineering or equivalent education • knowledge in volvo product structures and tools , kola • experience in software development , testing and industrialization • high competence in global communication and networking • well spoken and written english . personal skills . as a sw co you are expected to be persistent , knowledgeable , and service minded . you should have strong verbal and written communication skills , and be able to produce structured documents of high quality . as we work in a multi - project environment you must be able to drive your tasks to closure on time and be able to work independently and with drive . you should be a team worker with a high level of cooperation ability . as the position requires many stakeholder interfaces and will support several users , it is important that you are able to ( and enjoy ) working in multitask environment and are able to prioritize and structure your work independently . english only is sufficient language skill for this assignment . övrig relevant information . är du tillgänglig och uppdraget känns intressant , klicka på knappen "" ansök här . innan du svarar på ett uppdrag , var noga med att din kompetensprofil ( cv ) är uppdaterad , korrekt och tydligt beskriver att du är lämplig för uppdraget . "
4,"Function and system design for Autonomous Drive - Automotive, Referens 21045","Ansök här
Uppdragsbeskrivning och krav
We are looking for an experienced Engineer to our Client with competence in function and system design for Autonomous Drive

Autonomous drive has the potential to fundamentally change how cars are used and are part of our society. As a member of the Highway Pilot Function team you will contribute to the team purpose to take the lead in safe, customer valued and purposeful functions for Autonomous Driving (AD). The responsibility, communal with the team, is to develop and launch a robust and safe, human-centric, self-driving functionality.

We are looking for an engineer with +5 years of experience from in function and system design to help the team develop safe AD functions with desirability and robustness.

You will use your experience and competence to develop and define robust system designs and technical solutions to secure complete customer function behavior and attribute experience. You will collaborate with a large interface to other teams that needs to contribute to the development of the Highway Pilot function.

You will be part of a team with competences in Human factors, system safety, function design, system design and function Verification and Validation (V&V). The team takes full responsibility for the development of the function and this will require close collaboration with our SW supplier, the team responsible for Sensing, Active Safety SW, Safe AD V&V and AD compute platform as well as teams supporting with test environments.

Do you fit the profile?
We believe that you have:
• knowledge in ADAS functions from previous work (function development or verification) and driving
• experience from advanced function- and system designs, systemisation and modelling not limited to ADAS functions
• experience from requirement development and and decomposing of requirements on different abstraction layers
• experience from working with or contributing to architecture designs for systems involving SW, sensors and ECUs
• experience from systemization of safety critical functions and therefore knowledgeable in how to apply the standards ISO26262 and SOTIF
• MSc degree in Systems, control and mechatronics, Data Science, Computer engineering, Engineering Physics or equivalent from experience
• fluent in English, spoken and written

Meritorious
• experience from Scrum or Kanban based teamwork




English only is sufficient language skill for this assignment
Övrig relevant information
Who are you?
You are a fast learning, self-driven and proactive team player with high ambitions. You are good in communication, you are curious, innovative and always eager to learn and understand your surroundings. You care about people and like to interact and work together. You take initiatives and feel responsibility for getting things done. You are always willing to offer a hand even for task you have little experience from. You are active in meetings, enthusiastic, proud to share and support others with your knowledge.

Är du tillgänglig och uppdraget känns intressant, klicka på knappen ""Ansök här"". Innan du svarar på ett uppdrag, var noga med att din kompetensprofil (CV) är uppdaterad, korrekt och tydligt beskriver att du är lämplig för uppdraget.

","ansök här . uppdragsbeskrivning och krav . we are looking for an experienced engineer to our client with competence in function and system design for autonomous drive . autonomous drive has the potential to fundamentally change how cars are used and are part of our society . as a member of the highway pilot function team you will contribute to the team purpose to take the lead in safe , customer valued and purposeful functions for autonomous driving ( ad . the responsibility , communal with the team , is to develop and launch a robust and safe , human - centric , self - driving functionality . we are looking for an engineer with +5 years of experience from in function and system design to help the team develop safe ad functions with desirability and robustness . you will use your experience and competence to develop and define robust system designs and technical solutions to secure complete customer function behavior and attribute experience . you will collaborate with a large interface to other teams that needs to contribute to the development of the highway pilot function . you will be part of a team with competences in human factors , system safety , function design , system design and function verification and validation ( v & v . the team takes full responsibility for the development of the function and this will require close collaboration with our sw supplier , the team responsible for sensing , active safety sw , safe ad v & v and ad compute platform as well as teams supporting with test environments . do you fit the profile . we believe that you have • knowledge in adas functions from previous work ( function development or verification ) and driving • experience from advanced function - and system designs , systemisation and modelling not limited to adas functions • experience from requirement development and and decomposing of requirements on different abstraction layers • experience from working with or contributing to architecture designs for systems involving sw , sensors and ecus • experience from systemization of safety critical functions and therefore knowledgeable in how to apply the standards iso26262 and sotif • msc degree in systems , control and mechatronics , data science , computer engineering , engineering physics or equivalent from experience • fluent in english , spoken and written . meritorious • experience from scrum or kanban based teamwork . english only is sufficient language skill for this assignment . övrig relevant information . who are you . you are a fast learning , self - driven and proactive team player with high ambitions . you are good in communication , you are curious , innovative and always eager to learn and understand your surroundings . you care about people and like to interact and work together . you take initiatives and feel responsibility for getting things done . you are always willing to offer a hand even for task you have little experience from . you are active in meetings , enthusiastic , proud to share and support others with your knowledge . är du tillgänglig och uppdraget känns intressant , klicka på knappen "" ansök här . innan du svarar på ett uppdrag , var noga med att din kompetensprofil ( cv ) är uppdaterad , korrekt och tydligt beskriver att du är lämplig för uppdraget . "
5,"System design engineer: Electric & Electronic system powering management, Reference 22658","Apply here
Assignment Description and Requirements
We are looking for a Systems Engineer for Electric & Electronic system powering management.
The Electronic Embedded System department is responsible for the overall electronic system used commonly in all machines. This requires the system to be modular, scalable, flexible, etc.
Your role in the project will be as Systems Engineer with focus on Electric system. You will together with the project team, investigate, develop and document the system functionality required to meet the needs for different implementations of EE system in VCE machines. The work will include finding solutions to secure that the EE powering management system supports regular 12V/24V system services, connectivity services, electromobility services and autonomous services
Drive the work from an operational and short-term perspective. Participate in specification implementation and verification loops to secure system aspects of the solution.
You are expected to be customer-oriented, flexible, self-sufficient and have technical knowledge and big interest in many different areas within Electrical and Electronic systems. You have strong drive and good innovation and communication skills.

Task:
• Define electrical system principles such as behaviors and electrical component properties
• Describe use cases together with users
• Develop concept proposals and evaluate them
• Identify and specify electrical component properties

Competence / Experience:
• BSc or MSc degree in Electrical/Electronic Engineering or equivalent
• Experience of working with electrical and/or electronic system in the automotive industry
• Good understanding of robust and reliable system/software engineering/design principles
• Proficient documentation skills
• Fluent in English and Swedish, both written and spoken

English only is sufficient language skill for this assignment
Other relevant information
Are you available and the assignment seems interesting, click the ""Apply now"". Before you respond to an assignment, make sure that your skills profile (CV) is updated, correct and clearly describing your suitability for the job.
","apply here . assignment description and requirements . we are looking for a systems engineer for electric & electronic system powering management . the electronic embedded system department is responsible for the overall electronic system used commonly in all machines . this requires the system to be modular , scalable , flexible , etc . your role in the project will be as systems engineer with focus on electric system . you will together with the project team , investigate , develop and document the system functionality required to meet the needs for different implementations of ee system in vce machines . the work will include finding solutions to secure that the ee powering management system supports regular 12v / 24v system services , connectivity services , electromobility services and autonomous services . drive the work from an operational and short - term perspective . participate in specification implementation and verification loops to secure system aspects of the solution . you are expected to be customer - oriented , flexible , self - sufficient and have technical knowledge and big interest in many different areas within electrical and electronic systems . you have strong drive and good innovation and communication skills . task • define electrical system principles such as behaviors and electrical component properties • describe use cases together with users • develop concept proposals and evaluate them • identify and specify electrical component properties . competence / experience • bsc or msc degree in electrical / electronic engineering or equivalent • experience of working with electrical and / or electronic system in the automotive industry • good understanding of robust and reliable system / software engineering / design principles • proficient documentation skills • fluent in english and swedish , both written and spoken . english only is sufficient language skill for this assignment . other relevant information . are you available and the assignment seems interesting , click the "" apply now . before you respond to an assignment , make sure that your skills profile ( cv ) is updated , correct and clearly describing your suitability for the job . "
6,"Test Developer Powertrain Control Systems (Python, HIL, SIL), Reference 22216","Apply here
Assignment Description and Requirements
We are looking for a Test Developer within Powertrain Control Systems with 2-10 years of experience for one of our automotive client.

• M.Sc. or B.Sc. in Embedded System, Mechatronics, Computer Science or similar
• Good programming skills, Python or similar, is required
• Experience of testing of embedded systems is required
• Test automation, preferably against HIL- and/or SIL-environments, is required
• Experience from automotive development, preferably within powertrain control systems, is an advantage
• Vehicle Knowledge and Interest and/or C/D driver license, is an advantage

Other relevant information
Are you available and the assignment seems interesting, click the ""Apply now"". Before you respond to an assignment, make sure that your skills profile (CV) is updated, correct and clearly describing your suitability for the job.
","apply here . assignment description and requirements . we are looking for a test developer within powertrain control systems with 2 - 10 years of experience for one of our automotive client • m . sc . or b . sc . in embedded system , mechatronics , computer science or similar • good programming skills , python or similar , is required • experience of testing of embedded systems is required • test automation , preferably against hil - and / or sil - environments , is required • experience from automotive development , preferably within powertrain control systems , is an advantage • vehicle knowledge and interest and / or c / d driver license , is an advantage . other relevant information . are you available and the assignment seems interesting , click the "" apply now . before you respond to an assignment , make sure that your skills profile ( cv ) is updated , correct and clearly describing your suitability for the job . "
7,"Embedded SW Engineer, Reference 23189","Apply here
Assignment Description and Requirements
Requirements:
We believe you are a passionate embedded software engineer with at least a few years of relevant work experience. You have a university degree in Software Engineering or equivalent.
You are known as a team player with an open mindset.
You have knowledge of and relevant experience with:
- Embedded systems
- Linux
- C/C++
- Script languages
- Hardware near debugging (schematics, logic analyzer, board-bringup).
- Linux kernel is meritorious
- Git, Gerrit, Jenkins
- Jira, Confluence
- Agile software development process
- QNX is meritorious

Your Role:
As an Embedded Software Engineer, you will be a member of a team responsible for the low-level modules within our platform organisation developing the infotainment head unit system.
The system is an in-vehicle Linux based system running native Android or virtualized inside QNX hypervisor.
You will work with low-level software modules, board bring up, develop drivers and be engaged in HW near debugging.
You will be part of a team with experienced engineers who enjoy sharing theirs knowledge and solving problems together.
You will have close collaboration with SoC suppliers to integrate the latest and greatest into our product.

English only is sufficient language skill for this assignment","apply here . assignment description and requirements . requirements . we believe you are a passionate embedded software engineer with at least a few years of relevant work experience . you have a university degree in software engineering or equivalent . you are known as a team player with an open mindset . you have knowledge of and relevant experience with - embedded systems - linux - c / c++ - script languages - hardware near debugging ( schematics , logic analyzer , board - bringup - linux kernel is meritorious - git , gerrit , jenkins - jira , confluence - agile software development process - qnx is meritorious . your role . as an embedded software engineer , you will be a member of a team responsible for the low - level modules within our platform organisation developing the infotainment head unit system . the system is an in - vehicle linux based system running native android or virtualized inside qnx hypervisor . you will work with low - level software modules , board bring up , develop drivers and be engaged in hw near debugging . you will be part of a team with experienced engineers who enjoy sharing theirs knowledge and solving problems together . you will have close collaboration with soc suppliers to integrate the latest and greatest into our product . english only is sufficient language skill for this assignment"
8,"Embedded SW Process Developer, Reference 23364","Apply here
Assignment Description and Requirements
For an automotive customer we are looking for an Embedded SW Process Developer. The area is within vehicle dynamics control systems.

We expect you to take ownership and drive the SW process development to a maturity level of ASPICE/CMMI level 3. We work in a highly automated software environment using system supporting SIL, MIL and HIL testing, including system simulators and vehicles. We work mainly in C++ to develop our test cases, but in a flora of different tools ranging from in-house built to standard automotive tools like CANoe. Our SW is mix of generated code and manual C++. We strive towards automated and continuous development, integration and deployment.

If you have a background in mechatronics and have steered your professional career towards embedded software development or if you are a senior embedded SW developer with a genuine interest in vehicle dynamics you would be a perfect fit.

Qualification:
- Minimum 5 years of embedded software development experience (implementation and verification of embedded systems) and automated testing
- Documented experience in process development of embedded SW using ASPICE, CMMI, ISO26262
- You have a M.Sc. degree in IT, Computer Science, Mechatronics, Control engineering, Electronics or equivalent.
- Experience of software product development, testing or big data
- Have experience in writing automated tests in at least one automated testing framework.

Previous work experience:
- Knowledge and experience of the following concepts:
- Embedded C/C++
- Unit testing
- Have at least 5 year of experience in system and integration testing.
- Experience from Agile organizations
- Ability to work independently and good debugging skills.
- Knowledge in Configuration Management and Continuous Integration using tools as GIT and Jenkins
- ISO26262
- Hands on experience of a requirement management tool e.g. system weaver tool.
- Good knowledge of Autosar methodology
- Good understanding of system development of embedded real time systems
- Good understanding of model based development (Matlab/Simulink)
- Documented experience from process development using SPICE/APICE and/or CMMI and/or 7740

Other relevant information
Are you available and the assignment seems interesting, click the ""Apply now"". Before you respond to an assignment, make sure that your skills profile (CV) is updated, correct and clearly describing your suitability for the job.
","apply here . assignment description and requirements . for an automotive customer we are looking for an embedded sw process developer . the area is within vehicle dynamics control systems . we expect you to take ownership and drive the sw process development to a maturity level of aspice / cmmi level 3 . we work in a highly automated software environment using system supporting sil , mil and hil testing , including system simulators and vehicles . we work mainly in c++ to develop our test cases , but in a flora of different tools ranging from in - house built to standard automotive tools like canoe . our sw is mix of generated code and manual c++ . we strive towards automated and continuous development , integration and deployment . if you have a background in mechatronics and have steered your professional career towards embedded software development or if you are a senior embedded sw developer with a genuine interest in vehicle dynamics you would be a perfect fit . qualification - minimum 5 years of embedded software development experience ( implementation and verification of embedded systems ) and automated testing - documented experience in process development of embedded sw using aspice , cmmi , iso26262 - you have a m . sc . degree in it , computer science , mechatronics , control engineering , electronics or equivalent - experience of software product development , testing or big data - have experience in writing automated tests in at least one automated testing framework . previous work experience - knowledge and experience of the following concepts - embedded c / c++ - unit testing - have at least 5 year of experience in system and integration testing - experience from agile organizations - ability to work independently and good debugging skills - knowledge in configuration management and continuous integration using tools as git and jenkins - iso26262 - hands on experience of a requirement management tool e . g . system weaver tool - good knowledge of autosar methodology - good understanding of system development of embedded real time systems - good understanding of model based development ( matlab / simulink - documented experience from process development using spice / apice and / or cmmi and / or 7740 . other relevant information . are you available and the assignment seems interesting , click the "" apply now . before you respond to an assignment , make sure that your skills profile ( cv ) is updated , correct and clearly describing your suitability for the job . "
9,"Experienced Application Developer for embedded products, Referens 217","Ansök här
Uppdragsbeskrivning och krav
Experienced application developer for Embedded products
- Demonstrated experience in developing embedded products
- Proficient in C/C++ programming languages
- Proficient in embedded Linux (including kernel and user space)
- Experienced in development using Qt
- Familiar with git and gerrit
- Passionate, innovative and highly motivated
- Fluent in English (written and spoken)
- Familiar with scrum

English only is sufficient language skill for this assignment
Övrig relevant information
If you are interested in application development and technology and products in the forefront and have an interest in photography, this is the project for you.

Är du tillgänglig och uppdraget känns intressant, klicka på knappen ""Ansök här"". Innan du svarar på ett uppdrag, var noga med att din kompetensprofil (CV) är uppdaterad, korrekt och tydligt beskriver att du är lämplig för uppdraget.

","ansök här . uppdragsbeskrivning och krav . experienced application developer for embedded products - demonstrated experience in developing embedded products - proficient in c / c++ programming languages - proficient in embedded linux ( including kernel and user space - experienced in development using qt - familiar with git and gerrit - passionate , innovative and highly motivated - fluent in english ( written and spoken - familiar with scrum . english only is sufficient language skill for this assignment . övrig relevant information . if you are interested in application development and technology and products in the forefront and have an interest in photography , this is the project for you . är du tillgänglig och uppdraget känns intressant , klicka på knappen "" ansök här . innan du svarar på ett uppdrag , var noga med att din kompetensprofil ( cv ) är uppdaterad , korrekt och tydligt beskriver att du är lämplig för uppdraget . "
